ubx370:70 lbx370:45.8214
ubx371:70 lbx371:45.8214
ubx372:70 lbx372:45.8214
ubx373:inf lbx373:0
ubx374:16000 lbx374:1600
ubx375:20000 lbx375:2000
ubx376:0 lbx376:0
ubx377:0 lbx377:0
ubx378:70 lbx378:45.7381
ubx379:70 lbx379:45.7381
ubx380:70 lbx380:45.7381
ubx381:70 lbx381:45.7381
ubx382:inf lbx382:0
ubx383:16000 lbx383:1600
ubx384:20000 lbx384:2000
ubx385:0 lbx385:0
ubx386:0 lbx386:0
ubx387:70 lbx387:45.6548
ubx388:70 lbx388:45.6548
ubx389:70 lbx389:45.6548
ubx390:70 lbx390:45.6548
ubx391:inf lbx391:0
ubx392:16000 lbx392:1600
ubx393:20000 lbx393:2000
ubx394:0 lbx394:0
ubx395:0 lbx395:0
ubx396:70 lbx396:45.5714
ubx397:70 lbx397:45.5714
ubx398:70 lbx398:45.5714
ubx399:70 lbx399:45.5714
ubx400:inf lbx400:0
ubx401:16000 lbx401:1600
ubx402:20000 lbx402:2000
ubx403:0 lbx403:0
ubx404:0 lbx404:0
ubx405:70 lbx405:45.4821
ubx406:70 lbx406:45.4821
ubx407:70 lbx407:45.4821
ubx408:70 lbx408:45.4821
ubx409:inf lbx409:0
ubx410:16000 lbx410:1600
ubx411:20000 lbx411:2000
ubx412:0 lbx412:0
ubx413:0 lbx413:0
ubx414:70 lbx414:45.3929
ubx415:70 lbx415:45.3929
ubx416:70 lbx416:45.3929
ubx417:70 lbx417:45.3929
ubx418:inf lbx418:0
ubx419:16000 lbx419:1600
ubx420:20000 lbx420:2000
ubx421:0 lbx421:0
ubx422:0 lbx422:0
ubx423:70 lbx423:45.3036
ubx424:70 lbx424:45.3036
ubx425:70 lbx425:45.3036
ubx426:70 lbx426:45.3036
ubx427:inf lbx427:0
ubx428:16000 lbx428:1600
ubx429:20000 lbx429:2000
ubx430:0 lbx430:0
ubx431:0 lbx431:0
ubx432:70 lbx432:45.2143
ubx433:70 lbx433:45.2143
ubx434:70 lbx434:45.2143
ubx435:70 lbx435:45.2143
ubx436:inf lbx436:0
ubx437:16000 lbx437:1600
ubx438:20000 lbx438:2000
ubx439:0 lbx439:0
ubx440:0 lbx440:0
ubx441:70 lbx441:45.1726
ubx442:70 lbx442:45.1726
ubx443:70 lbx443:45.1726
ubx444:70 lbx444:45.1726
ubx445:inf lbx445:0
ubx446:16000 lbx446:1600
ubx447:20000 lbx447:2000
ubx448:0 lbx448:0
ubx449:0 lbx449:0
ubx450:70 lbx450:45.131
ubx451:70 lbx451:45.131
ubx452:70 lbx452:45.131
ubx453:70 lbx453:45.131
ubx454:inf lbx454:0
ubx455:16000 lbx455:1600
ubx456:20000 lbx456:2000
ubx457:0 lbx457:0
ubx458:0 lbx458:0
ubx459:70 lbx459:45.0893
ubx460:70 lbx460:45.0893
ubx461:70 lbx461:45.0893
ubx462:70 lbx462:45.0893
ubx463:inf lbx463:0
ubx464:16000 lbx464:1600
ubx465:20000 lbx465:2000
ubx466:0 lbx466:0
ubx467:0 lbx467:0
ubx468:70 lbx468:45.0476
