time;aussen
08:57:03;11.0
09:07:02;11.1
09:07:03;11.1
09:07:05;11.1
09:07:06;11.1
09:17:02;10.8
09:17:03;10.8
09:17:04;10.8
09:17:06;10.8
09:17:09;10.8
09:27:02;9.9
09:27:04;9.9
09:27:06;9.9
09:27:09;9.9
09:27:11;9.9
09:37:02;9.1
09:37:03;9.1
09:37:06;9.1
09:37:07;9.1
09:37:09;9.1
09:37:11;9.1
09:47:02;8.4
09:47:03;8.4
09:47:04;8.4
09:47:05;8.4
09:47:06;8.4
09:47:09;8.4
09:47:11;8.4
09:57:02;8.5
09:57:06;8.5
09:57:09;8.5
09:57:11;8.5
10:07:02;8.3
10:07:05;8.3
10:07:06;8.3
10:07:07;8.3
10:17:02;8.7
10:17:03;8.7
10:17:04;8.7
10:17:07;8.7
10:17:09;8.7
10:17:11;8.7
10:27:11;8.7
10:37:03;8.7
10:37:05;8.7
10:37:11;8.7
10:47:02;8.5
10:47:03;8.5
10:47:06;8.5
10:47:09;8.5
10:47:11;8.5
10:57:02;8.6
10:57:04;8.6
10:57:05;8.6
10:57:06;8.6
10:57:07;8.6
10:57:09;8.6
10:57:11;8.6
11:07:02;8.4
11:07:06;8.4
11:07:09;8.4
11:07:11;8.4
11:17:03;8.4
11:17:09;8.4
11:17:11;8.4
11:27:02;8.1
11:27:04;8.1
11:27:07;8.1
11:27:11;8.1
11:37:03;8.1
11:37:06;8.1
11:37:09;8.1
11:37:11;8.1
11:47:02;7.9
11:47:06;7.9
11:47:07;7.9
11:47:11;7.9
11:57:02;8.1
11:57:06;8.1
12:07:02;7.8
12:07:03;7.8
12:07:05;7.8
12:07:06;7.8
12:07:11;7.8
12:17:02;7.7
12:17:04;7.7
12:17:05;7.7
12:17:06;7.7
12:17:09;7.7
12:17:11;7.7
12:27:02;7.6
12:27:05;7.6
12:27:09;7.6
12:27:11;7.6
12:37:02;7.7
12:37:04;7.7
12:37:05;7.7
12:37:11;7.7
12:47:02;7.9
12:47:05;7.9
12:47:09;7.9
12:47:11;7.9
12:57:02;8.2
12:57:06;8.2
12:57:09;8.2
12:57:11;8.2
13:07:05;8.2
13:07:06;8.2
13:07:09;8.2
13:07:11;8.2
13:17:07;8.2
13:17:09;8.2
13:17:11;8.2
13:27:02;8.1
13:27:04;8.1
13:27:09;8.1
13:27:11;8.1
13:37:02;8.4
13:37:04;8.4
13:37:11;8.4
13:47:04;8.4
13:47:07;8.4
13:47:09;8.4
13:47:11;8.4
13:57:02;7.9
13:57:07;7.9
13:57:11;7.9
14:07:02;8.1
14:07:04;8.1
14:07:07;8.1
14:07:09;8.1
14:07:11;8.1
14:17:02;7.9
14:17:07;7.9
14:17:11;7.9
14:27:02;8.0
14:27:11;8.0
14:37:02;8.1
14:47:03;8.1
14:47:05;8.1
14:47:08;8.1
14:47:10;8.1
14:57:02;8.1
14:57:03;8.1
14:57:04;8.1
14:57:05;8.1
14:57:06;8.1
14:57:08;8.1
14:57:10;8.1
15:07:01;7.8
15:07:02;7.8
15:07:03;7.8
15:07:08;7.8
15:07:10;7.8
15:17:01;7.9
15:17:02;7.9
15:17:03;7.9
15:17:08;7.9
15:17:10;7.9
15:27:01;8.1
15:27:02;8.1
15:27:03;8.1
15:27:05;8.1
15:27:06;8.1
15:27:08;8.1
15:27:10;8.1
15:37:01;7.9
15:37:02;7.9
15:37:06;7.9
15:37:10;7.9
15:47:02;7.9
15:47:03;7.9
15:47:04;7.9
15:47:06;7.9
15:47:08;7.9
15:57:02;7.9
15:57:06;7.9
15:57:10;7.9
16:07:01;7.6
16:07:02;7.6
16:07:03;7.6
16:07:04;7.6
16:07:08;7.6
16:07:10;7.6
16:17:01;7.8
16:17:02;7.8
16:17:04;7.8
16:17:05;7.8
16:17:08;7.8
16:17:10;7.8
16:27:01;7.7
16:27:02;7.7
16:27:04;7.7
16:27:08;7.7
16:27:10;7.7
16:37:03;7.7
16:37:08;7.7
16:37:10;7.7
16:47:01;7.6
16:47:02;7.6
16:47:03;7.6
16:47:05;7.6
16:47:10;7.6
16:57:03;7.6
16:57:10;7.6
17:07:01;7.4
17:07:02;7.4
17:07:03;7.4
17:07:04;7.4
17:07:06;7.4
17:07:10;7.4
17:17:01;7.5
17:17:02;7.5
17:17:03;7.5
17:17:04;7.5
17:17:06;7.5
17:17:10;7.5
17:27:01;7.6
17:27:03;7.6
17:27:04;7.6
17:27:05;7.6
17:27:06;7.6
17:27:10;7.6
17:37:03;7.6
17:37:04;7.6
17:37:06;7.6
17:37:08;7.6
17:37:10;7.6
17:47:02;7.6
17:47:03;7.6
17:47:04;7.6
17:47:05;7.6
17:47:10;7.6
17:57:03;7.6
17:57:05;7.6
17:57:06;7.6
17:57:10;7.6
18:07:03;7.6
18:07:04;7.6
18:07:06;7.6
18:07:10;7.6
18:17:02;7.6
18:17:03;7.6
18:17:04;7.6
18:17:08;7.6
18:17:10;7.6
18:27:03;7.6
18:27:10;7.6
18:37:02;7.6
18:37:03;7.6
18:37:04;7.6
18:37:05;7.6
18:37:10;7.6
18:47:02;7.6
18:47:03;7.6
18:47:04;7.6
18:47:06;7.6
18:47:10;7.6
18:57:02;7.6
18:57:03;7.6
18:57:04;7.6
18:57:06;7.6
18:57:08;7.6
19:07:02;7.6
19:07:05;7.6
19:07:06;7.6
19:07:08;7.6
19:07:10;7.6
19:17:02;7.6
19:17:03;7.6
19:17:04;7.6
19:17:05;7.6
19:17:06;7.6
19:17:10;7.6
19:27:01;7.7
19:27:02;7.7
19:27:03;7.7
19:27:05;7.7
19:27:06;7.7
19:27:08;7.7
19:27:10;7.7
19:37:01;7.6
19:37:02;7.6
19:37:03;7.6
19:37:08;7.6
19:47:01;7.4
19:47:03;7.4
19:47:04;7.4
19:47:06;7.4
19:47:08;7.4
19:57:02;7.4
19:57:03;7.4
19:57:04;7.4
19:57:08;7.4
20:07:01;7.3
20:07:03;7.3
