time;aussen
06:37:03;3.8
06:37:05;3.8
06:46:56;3.5
06:46:58;3.5
06:47:05;3.5
06:56:56;3.2
06:56:58;3.2
06:56:59;3.2
06:57:00;3.2
06:57:01;3.2
06:57:03;3.2
06:57:05;3.2
07:06:56;3.3
07:06:57;3.3
07:06:58;3.3
07:07:00;3.3
07:07:01;3.3
07:07:03;3.3
07:16:55;3.2
07:16:57;3.2
07:17:01;3.2
07:17:02;3.2
07:17:04;3.2
07:26:55;3.4
07:26:56;3.4
07:26:58;3.4
07:26:59;3.4
07:27:02;3.4
07:27:04;3.4
07:37:02;3.4
07:37:04;3.4
07:46:56;3.4
07:46:58;3.4
07:47:04;3.4
07:56:55;3.1
07:56:56;3.1
07:56:57;3.1
07:56:59;3.1
07:57:00;3.1
07:57:02;3.1
08:06:55;2.8
08:06:56;2.8
08:06:57;2.8
08:07:00;2.8
08:07:02;2.8
08:16:55;2.6
08:16:56;2.6
08:16:57;2.6
08:16:58;2.6
08:16:59;2.6
08:17:00;2.6
08:17:02;2.6
08:17:04;2.6
08:26:56;2.6
08:26:57;2.6
08:27:04;2.6
08:36:55;2.7
08:36:57;2.7
08:37:04;2.7
08:46:55;2.9
08:46:56;2.9
08:46:57;2.9
08:46:58;2.9
08:47:02;2.9
08:47:04;2.9
08:56:55;2.8
08:56:57;2.8
08:57:00;2.8
08:57:02;2.8
08:57:04;2.8
09:06:56;2.8
09:06:58;2.8
09:16:55;2.9
09:16:56;2.9
09:17:00;2.9
09:17:04;2.9
09:26:55;3.4
09:26:56;3.4
09:26:57;3.4
09:26:59;3.4
09:27:00;3.4
09:27:04;3.4
09:36:55;3.1
09:36:59;3.1
09:37:00;3.1
09:37:02;3.1
09:37:04;3.1
09:46:55;3.5
09:46:56;3.5
09:46:57;3.5
09:47:00;3.5
09:47:04;3.5
09:56:55;4.1
09:56:57;4.1
09:57:04;4.1
10:06:55;4.5
10:06:56;4.5
10:06:57;4.5
10:06:59;4.5
10:07:02;4.5
10:16:55;4.8
10:16:57;4.8
10:16:59;4.8
10:17:00;4.8
10:17:02;4.8
10:17:04;4.8
10:26:55;5.4
10:26:56;5.4
10:26:59;5.4
10:27:00;5.4
10:27:02;5.4
10:27:04;5.4
10:36:57;5.4
10:36:59;5.4
10:37:02;5.4
10:37:04;5.4
10:46:56;5.4
10:46:57;5.4
10:46:59;5.4
10:47:04;5.4
10:56:55;5.5
10:56:56;5.5
10:56:57;5.5
10:56:59;5.5
10:57:00;5.5
10:57:04;5.5
11:06:55;5.2
11:06:56;5.2
11:06:57;5.2
11:06:58;5.2
11:06:59;5.2
11:07:00;5.2
11:07:04;5.2
11:16:55;5.1
11:16:56;5.1
11:16:57;5.1
11:17:00;5.1
11:17:02;5.1
11:17:04;5.1
11:26:55;5.2
11:26:56;5.2
11:26:57;5.2
11:26:58;5.2
11:27:00;5.2
11:27:02;5.2
11:27:04;5.2
11:36:55;5.6
11:36:56;5.6
11:36:57;5.6
11:36:58;5.6
11:36:59;5.6
11:37:00;5.6
11:37:02;5.6
11:37:04;5.6
11:46:55;5.8
11:46:58;5.8
11:46:59;5.8
11:47:00;5.8
11:47:02;5.8
11:47:04;5.8
11:56:56;5.8
11:56:57;5.8
11:56:58;5.8
11:56:59;5.8
11:57:00;5.8
11:57:04;5.8
12:06:55;5.4
12:06:56;5.4
12:06:57;5.4
12:06:58;5.4
12:06:59;5.4
12:07:00;5.4
12:07:04;5.4
12:16:55;5.6
12:16:56;5.6
12:16:57;5.6
12:16:58;5.6
12:17:00;5.6
12:17:04;5.6
12:26:55;5.7
12:26:57;5.7
12:26:59;5.7
12:36:55;6.1
12:36:56;6.1
12:36:57;6.1
12:36:59;6.1
12:37:00;6.1
12:37:04;6.1
12:46:55;5.8
12:46:57;5.8
12:46:58;5.8
12:46:59;5.8
12:47:00;5.8
12:47:02;5.8
12:56:57;5.8
12:56:59;5.8
12:57:04;5.8
13:06:55;5.9
13:06:56;5.9
13:06:57;5.9
13:06:59;5.9
13:07:00;5.9
13:07:04;5.9
13:16:55;6.4
13:16:57;6.4
13:16:59;6.4
13:17:04;6.4
13:26:55;6.9
13:26:57;6.9
13:26:59;6.9
13:27:04;6.9
13:36:55;6.5
13:36:56;6.5
13:36:58;6.5
13:36:59;6.5
13:37:02;6.5
13:37:04;6.5
13:46:55;6.6
13:46:57;6.6
13:46:58;6.6
13:46:59;6.6
13:47:00;6.6
13:47:02;6.6
13:47:04;6.6
13:56:55;5.9
13:56:58;5.9
13:56:59;5.9
13:57:00;5.9
13:57:04;5.9
14:06:55;6.0
14:06:57;6.0
14:06:58;6.0
14:06:59;6.0
14:07:02;6.0
14:07:04;6.0
14:16:55;6.1
14:16:57;6.1
14:17:00;6.1
14:17:04;6.1
14:26:55;5.9
14:26:57;5.9
14:27:02;5.9
14:27:04;5.9
14:36:54;6.0
14:36:55;6.0
14:36:58;6.0
14:36:59;6.0
14:37:03;6.0
14:46:54;5.9
14:46:55;5.9
14:46:57;5.9
14:46:58;5.9
14:47:03;5.9
14:56:54;5.6
14:56:56;5.6
14:56:57;5.6
14:56:58;5.6
14:56:59;5.6
14:57:01;5.6
14:57:03;5.6
15:06:54;5.5
15:06:57;5.5
15:06:58;5.5
15:06:59;5.5
15:07:01;5.5
15:07:03;5.5
15:16:54;5.2
15:16:57;5.2
15:16:58;5.2
15:17:01;5.2
15:17:03;5.2
15:26:54;5.3
15:26:57;5.3
15:26:58;5.3
15:27:03;5.3
15:36:54;5.1
15:36:56;5.1
15:36:57;5.1
15:36:58;5.1
15:36:59;5.1
15:46:54;4.8
15:46:57;4.8
15:46:58;4.8
15:46:59;4.8
15:47:01;4.8
15:47:03;4.8
15:56:54;4.6
15:56:56;4.6
15:56:58;4.6
16:06:54;4.3
16:06:58;4.3
16:06:59;4.3
16:07:01;4.3
16:07:03;4.3
16:16:54;3.9
16:16:56;3.9
16:16:57;3.9
16:16:58;3.9
16:16:59;3.9
16:17:01;3.9
16:17:03;3.9
16:26:54;3.6
16:26:58;3.6
16:26:59;3.6
16:27:01;3.6
16:27:03;3.6
16:36:54;3.3
16:36:55;3.3
16:36:56;3.3
16:36:58;3.3
16:36:59;3.3
16:37:01;3.3
16:37:03;3.3
16:46:54;3.0
16:46:56;3.0
16:46:58;3.0
16:47:03;3.0
16:56:54;2.7
16:56:55;2.7
16:56:58;2.7
16:56:59;2.7
16:57:01;2.7
16:57:03;2.7
17:06:54;2.6
17:06:56;2.6
17:06:58;2.6
17:06:59;2.6
17:07:01;2.6
17:07:03;2.6
17:16:54;2.3
17:16:56;2.3
17:16:57;2.3
17:16:58;2.3
17:16:59;2.3
17:17:03;2.3
17:26:54;2.1
17:26:55;2.1
17:26:56;2.1
17:26:57;2.1
17:26:58;2.1
17:26:59;2.1
17:27:01;2.1
17:27:03;2.1
17:36:55;2.1
